ASM330LHH: | Acc[mg]: 121 258 977 | Gyr[mdps]: 770 -1540 -420 |
ASM330LHH: | Acc[mg]: 130 248 984 | Gyr[mdps]: -5250 5110 350 |
ASM330LHH: | Acc[mg]: 116 251 981 | Gyr[mdps]: 140 -840 -420 |
ASM330LHH: | Acc[mg]: 114 254 976 | Gyr[mdps]: 420 -1470 -1890 |
ASM330LHH: | Acc[mg]: 121 253 974 | Gyr[mdps]: 2100 -3080 -560 |
ASM330LHH: | Acc[mg]: 122 252 981 | Gyr[mdps]: 1120 -1890 -420 |
ASM330LHH: | Acc[mg]: 118 251 979 | Gyr[mdps]: 1190 -1820 -420 |
ASM330LHH: | Acc[mg]: 116 251 978 | Gyr[mdps]: 1330 -1960 -350 |
ASM330LHH: | Acc[mg]: 115 251 979 | Gyr[mdps]: 350 -1050 -490 |
ASM330LHH: | Acc[mg]: 116 250 977 | Gyr[mdps]: 420 -1190 -490 |
ASM330LHH: | Acc[mg]: 116 251 979 | Gyr[mdps]: 1050 -1680 -420 |
ASM330LHH: | Acc[mg]: 115 249 980 | Gyr[mdps]: 420 -1190 -490 |
ASM330LHH: | Acc[mg]: 115 251 979 | Gyr[mdps]: 1190 -1890 -350 |
ASM330LHH: | Acc[mg]: 113 250 977 | Gyr[mdps]: 280 -1050 -560 |
ASM330LHH: | Acc[mg]: 114 250 977 | Gyr[mdps]: 910 -1540 -490 |
ASM330LHH: | Acc[mg]: 113 249 979 | Gyr[mdps]: 1050 -1820 -420 |
ASM330LHH: | Acc[mg]: 111 249 981 | Gyr[mdps]: 980 -1610 -420 |
ASM330LHH: | Acc[mg]: 112 249 978 | Gyr[mdps]: 210 -980 -560 |
ASM330LHH: | Acc[mg]: 112 249 980 | Gyr[mdps]: 1050 -1820 -420 |
ASM330LHH: | Acc[mg]: 103 245 984 | Gyr[mdps]: 350 -1400 -1680 |
ASM330LHH: | Acc[mg]: 110 246 975 | Gyr[mdps]: 770 -1820 -1120 |
ASM330LHH: | Acc[mg]: 110 244 979 | Gyr[mdps]: -280 -490 -560 |
ASM330LHH: | Acc[mg]: 108 245 981 | Gyr[mdps]: 420 -1400 -490 |
ASM330LHH: | Acc[mg]: 107 246 983 | Gyr[mdps]: 560 -1330 -700 |
ASM330LHH: | Acc[mg]: 113 247 978 | Gyr[mdps]: 770 -1470 -980 |
ASM330LHH: | Acc[mg]: 111 245 980 | Gyr[mdps]: 1890 -2590 -420 |
ASM330LHH: | Acc[mg]: 110 243 981 | Gyr[mdps]: 1260 -1960 -420 |
ASM330LHH: | Acc[mg]: 107 243 984 | Gyr[mdps]: 0 -420 -70 |
ASM330LHH: | Acc[mg]: 106 241 986 | Gyr[mdps]: 70 -770 -420 |
ASM330LHH: | Acc[mg]: 105 241 984 | Gyr[mdps]: 630 -1260 -490 |
ASM330LHH: | Acc[mg]: 104 241 984 | Gyr[mdps]: 770 -1470 -420 |
ASM330LHH: | Acc[mg]: 107 242 980 | Gyr[mdps]: 140 -980 -560 |
ASM330LHH: | Acc[mg]: 105 237 984 | Gyr[mdps]: 350 -1820 -280 |
ASM330LHH: | Acc[mg]: -13 203 969 | Gyr[mdps]: -6930 9310 10990 |
ASM330LHH: | Acc[mg]: 56 133 1052 | Gyr[mdps]: 18130 -5810 -25760 |
ASM330LHH: | Acc[mg]: 108 189 998 | Gyr[mdps]: 0 -40880 19110 |
ASM330LHH: | Acc[mg]: 83 42 861 | Gyr[mdps]: -33250 -31920 -16450 |
ASM330LHH: | Acc[mg]: 457 -338 884 | Gyr[mdps]: -10430 9380 70980 |
ASM330LHH: | Acc[mg]: 75 -166 1001 | Gyr[mdps]: 25480 7070 29050 |
ASM330LHH: | Acc[mg]: -104 -133 595 | Gyr[mdps]: -5670 -77210 -2940 |
ASM330LHH: | Acc[mg]: 94 -327 1030 | Gyr[mdps]: 4900 5670 13860 |
ASM330LHH: | Acc[mg]: 174 -307 872 | Gyr[mdps]: -1750 -11270 -18060 |
ASM330LHH: | Acc[mg]: -91 -44 1075 | Gyr[mdps]: -23590 -30380 21910 |
ASM330LHH: | Acc[mg]: -149 -43 993 | Gyr[mdps]: 19320 2380 31430 |
ASM330LHH: | Acc[mg]: 5 -77 991 | Gyr[mdps]: 420 5810 -2800 |
ASM330LHH: | Acc[mg]: 401 -579 562 | Gyr[mdps]: 7420 23170 7840 |
ASM330LHH: | Acc[mg]: 234 -200 976 | Gyr[mdps]: 5320 -3150 -7630 |
ASM330LHH: | Acc[mg]: 175 -81 971 | Gyr[mdps]: 33180 22680 5950 |
ASM330LHH: | Acc[mg]: 150 49 1031 | Gyr[mdps]: 2800 10990 9590 |
ASM330LHH: | Acc[mg]: 68 -10 1149 | Gyr[mdps]: -12530 -29960 4690 |
ASM330LHH: | Acc[mg]: 128 -25 1305 | Gyr[mdps]: 22960 93590 -3570 |
ASM330LHH: | Acc[mg]: 70 -204 1086 | Gyr[mdps]: 42280 -5180 -4130 |
ASM330LHH: | Acc[mg]: 97 -144 876 | Gyr[mdps]: 24920 11970 -14980 |
ASM330LHH: | Acc[mg]: 50 28 1006 | Gyr[mdps]: 30660 4130 3150 |
ASM330LHH: | Acc[mg]: -221 162 1119 | Gyr[mdps]: -43540 37380 -42210 |
ASM330LHH: | Acc[mg]: -309 -365 1807 | Gyr[mdps]: 77910 16380 14910 |
ASM330LHH: | Acc[mg]: -251 91 14 | Gyr[mdps]: -114590 -100660 -14910 |
ASM330LHH: | Acc[mg]: 80 33 1024 | Gyr[mdps]: -8960 -980 -140 |
ASM330LHH: | Acc[mg]: 10 28 1010 | Gyr[mdps]: -8120 -3640 -1750 |
ASM330LHH: | Acc[mg]: -51 86 989 | Gyr[mdps]: 17710 14350 1190 |
ASM330LHH: | Acc[mg]: -172 94 1044 | Gyr[mdps]: -5040 11130 -11690 |
ASM330LHH: | Acc[mg]: -137 83 1096 | Gyr[mdps]: 25620 12180 -560 |
ASM330LHH: | Acc[mg]: 263 -41 1114 | Gyr[mdps]: 7770 -26180 2800 |
ASM330LHH: | Acc[mg]: 182 -22 1052 | Gyr[mdps]: 4340 5320 420 |
ASM330LHH: | Acc[mg]: 191 -46 932 | Gyr[mdps]: 3710 7350 -3010 |
ASM330LHH: | Acc[mg]: 13 88 1080 | Gyr[mdps]: 12810 5670 10640 |
ASM330LHH: | Acc[mg]: -139 83 1088 | Gyr[mdps]: 420 -41510 -21840 |
ASM330LHH: | Acc[mg]: 117 -15 970 | Gyr[mdps]: 6580 -1960 3500 |
ASM330LHH: | Acc[mg]: 138 3 1011 | Gyr[mdps]: 10640 22750 -3360 |
ASM330LHH: | Acc[mg]: 185 -215 1075 | Gyr[mdps]: 67830 17150 -9730 |
ASM330LHH: | Acc[mg]: 190 -180 907 | Gyr[mdps]: -2800 2450 -9730 |
ASM330LHH: | Acc[mg]: 90 -53 993 | Gyr[mdps]: 15330 56070 -73220 |
ASM330LHH: | Acc[mg]: 39 50 838 | Gyr[mdps]: 129080 -102060 -68740 |
ASM330LHH: | Acc[mg]: 173 64 978 | Gyr[mdps]: -47950 -38080 -38990 |
ASM330LHH: | Acc[mg]: 67 -139 1066 | Gyr[mdps]: -490 7280 31010 |
ASM330LHH: | Acc[mg]: 17 -129 1000 | Gyr[mdps]: 33460 7140 21490 |
ASM330LHH: | Acc[mg]: 65 -63 988 | Gyr[mdps]: 24010 -10850 32340 |
ASM330LHH: | Acc[mg]: 42 -45 968 | Gyr[mdps]: -107590 24640 60690 |
ASM330LHH: | Acc[mg]: -37 -337 919 | Gyr[mdps]: 7280 -9940 7420 |
ASM330LHH: | Acc[mg]: 3 -338 977 | Gyr[mdps]: -13440 -34090 34440 |
