Initializing SD card...
SD card initialized successfully.
Logged: Time: 10 ms
Logged: Time: 1026 ms
Logged: Time: 2040 ms
Logged: Time: 3056 ms
Logged: Time: 4071 ms
Logged: Time: 5089 ms
Logged: Time: 6104 ms
Logged: Time: 7119 ms
Logged: Time: 8134 ms
Logged: Time: 9150 ms
Logged: Time: 10165 ms
Logged: Time: 11181 ms
Logged: Time: 12195 ms
Logged: Time: 13211 ms
Logged: Time: 14226 ms
Logged: Time: 15242 ms
Logged: Time: 16257 ms
Logged: Time: 17272 ms
Logged: Time: 18287 ms
Logged: Time: 19303 ms
Logged: Time: 20318 ms
Logged: Time: 21334 ms
Logged: Time: 22348 ms
Logged: Time: 23364 ms
Logged: Time: 24379 ms
Logged: Time: 25395 ms
Logged: Time: 26409 ms
Logged: Time: 27425 ms
Logged: Time: 28440 ms
Logged: Time: 29456 ms
Logged: Time: 30471 ms
Logged: Time: 31486 ms
Logged: Time: 32501 ms
Logged: Time: 33517 ms
Logged: Time: 34532 ms
Logged: Time: 35548 ms
Logged: Time: 36562 ms
Logged: Time: 37580 ms
Logged: Time: 38596 ms
Logged: Time: 39611 ms
Logged: Time: 40627 ms
Logged: Time: 41641 ms
Logged: Time: 42657 ms
Logged: Time: 43672 ms
Logged: Time: 44688 ms
Logged: Time: 45703 ms
Logged: Time: 46718 ms
Logged: Time: 47733 ms
Logged: Time: 48749 ms
Logged: Time: 49764 ms
Logged: Time: 50780 ms
Logged: Time: 51794 ms
Logged: Time: 52810 ms
Logged: Time: 53825 ms
Logged: Time: 54841 ms
Logged: Time: 55856 ms
Logged: Time: 56871 ms
Logged: Time: 57887 ms
Logged: Time: 58902 ms
Logged: Time: 59918 ms
Logged: Time: 60933 ms
Logged: Time: 61948 ms
Logged: Time: 62963 ms
Logged: Time: 63979 ms
Logged: Time: 64994 ms
Logged: Time: 66010 ms
Logged: Time: 67024 ms
Logged: Time: 68040 ms
Logged: Time: 69055 ms
Logged: Time: 70073 ms
Logged: Time: 71089 ms
Logged: Time: 72103 ms
Logged: Time: 73119 ms
Logged: Time: 74134 ms
Logged: Time: 75150 ms
Logged: Time: 76165 ms
Logged: Time: 77180 ms
Logged: Time: 78195 ms
Logged: Time: 79211 ms
Logged: Time: 80226 ms
Logged: Time: 81242 ms
Logged: Time: 82256 ms
Logged: Time: 83272 ms
Logged: Time: 84287 ms
Logged: Time: 85303 ms
Logged: Time: 86318 ms
Logged: Time: 87333 ms
Logged: Time: 88348 ms
Logged: Time: 89364 ms
Logged: Time: 90379 ms
Logged: Time: 91395 ms
Logged: Time: 92409 ms
Logged: Time: 93425 ms
Logged: Time: 94440 ms
Logged: Time: 95456 ms
Logged: Time: 96471 ms
Logged: Time: 97486 ms
Logged: Time: 98501 ms
Logged: Time: 99517 ms
Logged: Time: 100532 ms
Logged: Time: 101548 ms
Logged: Time: 102565 ms
Logged: Time: 103580 ms
Logged: Time: 104596 ms
Logged: Time: 105611 ms
Logged: Time: 106627 ms
Logged: Time: 107641 ms
Logged: Time: 108657 ms
