Altitude,RSSI,Signal
2.23,-50,10
2.07,-49,10
3.79,-47,10
3.14,-43,11
1.89,-61,10
2.96,-59,10
-0.49,-54,10
-1.91,-55,11
-3.16,-58,11
0.28,-52,10
-1.53,-48,10
-1.09,-46,11
-1.72,-34,10
-1.25,-29,11
-1.25,-30,11
-0.94,-29,11
-1.40,-28,12
-1.56,-29,11
0.02,-29,11
-1.07,-29,11
-1.23,-30,11
0.04,-29,11
-0.75,-35,10
-0.59,-29,11
-0.28,-29,11
0.53,-29,10
0.68,-28,11
-0.10,-28,11
-0.24,-29,11
0.07,-29,10
-1.32,-29,11
0.56,-29,10
1.20,-29,11
0.57,-28,11
0.10,-29,11
-0.54,-28,11
-1.01,-28,11
-0.21,-28,11
0.26,-28,11
0.75,-28,10
-1.16,-28,11
-2.39,-27,11
0.42,-27,10
-0.81,-28,12
-1.13,-31,11
-0.35,-30,11
-0.66,-30,10
